SAMPLE,POPULATION,ALPHA,GROUP,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
HG00274,EUR,0.2,1000GP,-0.0169734,0.0113271,0.00665413,0.00441244,-0.020754,-0.0133046,-0.0431816,0.0118357,0.0233051,0.0040138
HG00275,EUR,0.2,1000GP,-0.00953707,0.0191858,0.0123715,0.0131292,0.0207903,-0.0404661,-0.00589112,-0.0110584,0.00097433,-0.0243034
HG00276,EUR,0.2,1000GP,-0.0114974,0.0153939,0.0244668,0.0237009,0.0063331,-0.0568962,-0.0394231,0.00215725,0.00327793,0.0189467
HG00277,EUR,0.2,1000GP,-0.0123832,0.024335,0.0152862,0.0173255,-0.0111964,-0.011156,-0.0308893,0.00935364,0.0177391,0.0174396
HG00278,EUR,0.2,1000GP,-0.021178,0.0183624,0.0120828,0.0184051,0.00629525,-0.0460322,-0.0334138,-0.00367339,-7.60E-05,-0.0491149
HG00280,EUR,0.2,1000GP,-0.012288,0.0179028,0.0139982,0.0392918,-0.022222,-0.0506806,-0.0140325,-0.0045979,0.0185896,-0.0119402
HG00281,EUR,0.2,1000GP,-0.0129851,0.0155602,0.0148116,0.0308277,-0.00158235,-0.0526384,-0.0236225,0.00215046,-0.0273463,-0.00929574
HG00282,EUR,0.2,1000GP,-0.0162385,0.0121898,0.0206247,0.0214581,-0.0204517,-0.040746,-0.0522621,0.00298974,0.0125917,0.0146875
HG00284,EUR,0.2,1000GP,-0.00922958,0.0157222,0.00925993,0.00876881,-0.0358775,-0.0313152,-0.0414186,-0.0238262,0.01359,-0.0194219
HG00285,EUR,0.2,1000GP,-0.0182812,0.01997,0.0186895,0.0224994,0.0152231,-0.0340526,-0.00355756,0.0204192,0.0490347,0.00423653
HG00288,EUR,0.2,1000GP,-0.0145884,0.0223392,0.0150378,0.0264563,0.00244778,-0.0999287,-0.0371924,-0.0418558,0.0136625,0.0410759
HG00290,EUR,0.2,1000GP,-0.0120612,0.0229223,0.0211887,0.0177409,0.0225332,-0.0565486,0.0147414,-0.0332632,-0.0101618,0.00907232
HG00304,EUR,0.2,1000GP,-0.0156815,0.022832,0.00577968,0.0221377,0.0102499,-0.0168584,-0.00596091,-0.0197088,-0.0194668,0.0197559
HG00306,EUR,0.2,1000GP,-0.0142749,0.0113243,0.00303261,0.0210687,-0.0234078,-0.0097899,-0.00988445,0.00221405,-0.00764219,-0.00729681
HG00308,EUR,0.2,1000GP,-0.00856559,0.00620033,0.015125,0.016778,-0.00728281,-0.0539339,-0.00977147,-0.0294319,-0.00289536,-0.0136541
HG00309,EUR,0.2,1000GP,-0.0101132,0.0147131,0.0323314,0.0167037,0.0212268,-0.0701891,-0.00673082,-0.000449177,0.00134145,0.035024
HG00310,EUR,0.2,1000GP,-0.0156929,0.0192773,0.00819263,0.00978037,-0.00235417,-0.0112774,-0.0190405,0.0194725,-0.0127197,0.0230095
HG00311,EUR,0.2,1000GP,-0.0135172,0.0249917,0.00338724,0.0168685,-0.0248943,0.00391854,-0.016648,-0.0234643,-0.00583182,0.0344065
HG00313,EUR,0.2,1000GP,-0.0162386,0.0237456,0.0167144,0.0288756,0.0225329,-0.0487824,-0.0120511,-0.0186024,-0.0192209,0.00257689
HG00315,EUR,0.2,1000GP,-0.0156019,0.0143628,0.011147,0.012308,-0.00705867,-0.0095266,-0.0133498,-0.0145882,0.0257139,0.0180173
HG00318,EUR,0.2,1000GP,-0.0202024,0.0188843,0.0256479,0.0146804,-0.0150664,-0.0467399,-0.0266093,-0.00507485,-0.0257298,-0.0327511
HG00319,EUR,0.2,1000GP,-0.0177251,0.0207815,0.0175906,0.0179424,-0.0205692,-0.0501319,-0.0157024,-0.00833612,-0.0295646,0.0294175
HG00320,EUR,0.2,1000GP,-0.0170929,0.0182247,0.0161557,0.011599,0.00175279,-0.0258209,0.00668013,-0.054983,-0.00304494,-0.00779778
HG00321,EUR,0.2,1000GP,-0.0177572,0.0115107,0.0261957,-0.000155791,-0.000516296,-0.0335512,-0.0164284,-0.0133684,-0.0215987,0.01386
HG00323,EUR,0.2,1000GP,-0.0136426,0.0169569,0.0279695,0.00750162,0.0276804,-0.0519995,-0.028264,-0.00453543,-0.00928827,0.013322
HG00324,EUR,0.2,1000GP,-0.0136455,0.0183303,0.0252414,0.0208419,0.00885861,-0.0205635,0.00253853,0.00400403,-0.0438588,0.0329702
HG00325,EUR,0.2,1000GP,-0.0157986,0.00803674,0.0212981,0.00957616,0.0192564,-0.0610626,-0.0108632,-0.00507449,0.00601224,0.0219929
HG00326,EUR,0.2,1000GP,-0.0149653,0.0186912,0.0299385,0.0205303,-0.0237305,-0.0680792,-0.0132512,-0.00875403,-0.00724945,0.00597626
HG00327,EUR,0.2,1000GP,-0.0194409,0.0221263,0.00915675,0.0117845,-0.0153922,-0.0568812,0.0277566,0.00851862,-0.000550291,-0.0287371
HG00328,EUR,0.2,1000GP,-0.0180538,0.0217913,0.0223033,0.0235994,0.00666931,-0.0145236,-0.0165838,-0.0263384,-0.0106802,0.0628981
HG00329,EUR,0.2,1000GP,-0.010031,0.0256555,0.0160999,0.0186886,0.0254007,-0.0271674,0.021168,-0.00628494,-0.0055837,0.0243321
HG00330,EUR,0.2,1000GP,-0.0140057,0.0130263,0.0182953,0.0267432,-0.0129822,-0.0360464,-0.00851192,-0.0333286,0.0231424,0.0118607
HG00331,EUR,0.2,1000GP,-0.0119161,0.0245872,0.0137839,0.0211423,0.00173843,-0.0496533,-0.000589099,0.0332444,0.0114939,-0.0201648
HG00332,EUR,0.2,1000GP,-0.0184943,0.0143517,0.0363407,0.0183565,-0.0128334,-0.0271644,0.00292919,-0.0342706,0.0030965,0.00203669
HG00334,EUR,0.2,1000GP,-0.0190584,0.0114039,0.0251122,0.0249682,0.0232399,-0.0184828,-0.0310958,-0.0287231,0.0223241,0.0199196
HG00335,EUR,0.2,1000GP,-0.0200765,0.0222949,0.00807895,0.0249005,0.0059549,-0.0659877,0.0227867,0.0124329,0.0151174,0.000403094
HG00336,EUR,0.2,1000GP,-0.0128349,0.0194827,0.0181616,0.0197312,0.000934725,-0.0722058,-0.0195914,0.0131412,-0.0260084,-0.0148016
HG00337,EUR,0.2,1000GP,-0.0188837,0.0120683,0.0143314,0.00576196,-0.0228659,-0.0339522,0.0237695,0.0358994,0.0322095,0.00092497
HG00338,EUR,0.2,1000GP,-0.0132884,0.0188492,0.0286096,0.013269,-0.00569074,-0.0551622,-0.051639,0.0133455,-0.0254487,0.0290599
HG00339,EUR,0.2,1000GP,-0.0124038,0.0142103,0.0271331,0.021236,0.00740566,-0.0261025,-0.0303972,-0.0430814,0.0366785,-0.0253977
HG00341,EUR,0.2,1000GP,-0.0142153,0.0148629,0.0137773,0.0199206,-0.0139206,-0.0440495,-0.00310918,-0.000908865,0.0162041,0.0206037
HG00342,EUR,0.2,1000GP,-0.0118956,0.0273744,0.00619533,-0.00948472,-0.0119531,-0.0143342,-0.0431798,0.0282756,0.0282985,0.00197683
HG00343,EUR,0.2,1000GP,-0.0157014,0.0232813,0.0182423,0.0321562,-0.0155804,-0.0114443,-0.031368,-0.0183799,0.0127241,0.0238348
HG00344,EUR,0.2,1000GP,-0.0174134,0.0243696,0.019651,0.00451705,-0.0180474,-0.0147578,-0.0379972,0.0302141,0.00338613,-0.0136725
HG00345,EUR,0.2,1000GP,-0.0151244,0.013424,0.0111863,0.0131318,-0.024759,-0.0349323,-0.0344092,-0.0212681,0.0198472,0.000576386
HG00346,EUR,0.2,1000GP,-0.0165578,0.027203,0.0396096,0.0198964,-0.0218517,-0.0147034,-0.0469519,-0.00701915,0.00870647,0.038678
HG00349,EUR,0.2,1000GP,-0.0164503,0.019488,0.0217264,0.0235293,0.0131728,-0.0412052,0.0198738,0.00313686,0.00903068,0.0379598
HG00350,EUR,0.2,1000GP,-0.0109044,0.01516,0.0196089,0.0155225,-0.024267,-0.0361926,-0.00932133,0.0156123,-0.017238,0.0193716
HG00351,EUR,0.2,1000GP,-0.0162726,0.0205456,0.0135563,0.0170989,-0.000683981,-0.0613173,-0.0299512,0.0130193,-0.0085935,0.0171395
HG00353,EUR,0.2,1000GP,-0.0120006,0.0213197,0.0113858,0.0235856,-0.0183786,-0.0557818,0.0115195,-0.0113971,0.0174111,0.0299228
HG00355,EUR,0.2,1000GP,-0.0156342,0.0142107,0.0112449,0.0328963,-0.00103801,-0.0536258,-0.0169259,0.0240496,0.0151288,0.00658004
HG00356,EUR,0.2,1000GP,-0.00836351,0.0207827,0.020934,0.00600026,0.0233984,-0.0445481,-0.00422714,0.000469277,0.00631547,0.0254972
HG00357,EUR,0.2,1000GP,-0.0159101,0.021029,0.00932568,0.0188503,-0.0120984,-0.0273631,-0.00376188,-0.00803678,0.00919588,-0.0092023
HG00358,EUR,0.2,1000GP,-0.0136812,0.0271111,0.0245795,0.0185645,-0.00899807,-0.0513523,-0.0396566,0.0112879,0.00860219,0.017876
HG00360,EUR,0.2,1000GP,-0.0107669,0.0234117,0.0235564,-0.00417702,0.00758665,-0.0110174,-0.00959695,0.0178454,0.0153359,0.00574946
HG00361,EUR,0.2,1000GP,-0.0137257,0.0206964,0.0277464,0.0175834,-0.0122088,-0.0528963,0.0144445,-0.01341,0.00307068,0.0366427
HG00362,EUR,0.2,1000GP,-0.0136366,0.0190644,0.0265944,0.0155024,0.0143994,-0.0474664,-0.0237262,0.0134891,-0.00719535,-0.00711155
HG00364,EUR,0.2,1000GP,-0.01361,0.0190268,-0.000589429,0.0077465,-0.0147215,-0.0182347,-0.0176176,0.0531534,0.0389565,-0.00735675
